lab;subid;trial_type;stimulus;trial_num;total_trial_time;looking_time;trial_error;trial_error_type;notes
weltentdecker-zurich;mb_12894;IDS;IDS1;1;7.55;4.82;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS1;2;5.34;2.66;noerror;NA;NA
weltentdecker-zurich;mb_12894;IDS;IDS2;3;3.36;1.22;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS2;4;3.73;1.10;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS3;5;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12894;IDS;IDS3;6;12.97;10.97;noerror;NA;NA
weltentdecker-zurich;mb_12894;IDS;IDS4;7;4.88;2.11;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS4;8;5.88;2.66;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS5;9;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12894;IDS;IDS5;10;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12894;ADS;ADS6;11;3.16;0.54;noerror;NA;NA
weltentdecker-zurich;mb_12894;IDS;IDS6;12;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12894;IDS;IDS7;13;4.99;1.93;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS7;14;10.19;0.77;noerror;NA;NA
weltentdecker-zurich;mb_12894;ADS;ADS8;15;7.98;3.90;noerror;NA;NA
weltentdecker-zurich;mb_12894;IDS;IDS8;16;7.02;2.85;noerror;NA;NA
weltentdecker-zurich;mb_12911;training;train2;-2;11.73;2.85;noerror;NA;NA
weltentdecker-zurich;mb_12911;training;train1;-1;9.54;5.48;noerror;NA;NA
weltentdecker-zurich;mb_12911;ADS;ADS5;1;11.44;8.29;noerror;NA;NA
weltentdecker-zurich;mb_12911;IDS;IDS5;2;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;IDS;IDS7;3;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;ADS;ADS7;4;4.69;1.24;error;to fussy;NA
weltentdecker-zurich;mb_12911;IDS;IDS1;5;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;ADS;ADS1;6;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;IDS;IDS3;7;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;ADS;ADS3;8;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;IDS;IDS2;9;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;ADS;ADS2;10;2.00;0.00;error;to fussy;NA
weltentdecker-zurich;mb_12911;ADS;ADS4;11;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12911;IDS;IDS4;12;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12911;ADS;ADS6;13;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12911;IDS;IDS6;14;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12911;ADS;ADS8;15;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12911;IDS;IDS8;16;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12918;training;train1;-2;7.17;5.00;noerror;NA;NA
weltentdecker-zurich;mb_12918;training;train2;-1;8.63;5.89;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS1;1;4.67;2.34;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS1;2;5.62;2.30;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS2;3;8.27;5.26;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS2;4;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS3;5;3.14;1.01;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS3;6;5.54;1.76;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS4;7;16.40;14.40;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS4;8;16.70;9.28;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS5;9;3.19;0.30;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS5;10;12.00;10.00;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS6;11;8.88;6.06;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS6;12;13.47;8.01;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS7;13;7.11;2.67;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS7;14;4.08;0.76;noerror;NA;NA
weltentdecker-zurich;mb_12918;ADS;ADS8;15;9.77;3.39;noerror;NA;NA
weltentdecker-zurich;mb_12918;IDS;IDS8;16;6.25;1.90;noerror;NA;NA
weltentdecker-zurich;mb_12989;training;train2;-2;7.75;4.91;noerror;NA;NA
weltentdecker-zurich;mb_12989;training;train1;-1;14.84;12.84;noerror;NA;NA
weltentdecker-zurich;mb_12989;ADS;ADS5;1;14.08;8.75;noerror;NA;NA
weltentdecker-zurich;mb_12989;IDS;IDS5;2;5.93;3.09;noerror;NA;NA
weltentdecker-zurich;mb_12989;IDS;IDS7;3;3.02;0.94;error;to fussy;NA
weltentdecker-zurich;mb_12989;ADS;ADS7;4;2.00;0.00;error;parent intervention;mother takes up child and tries to calm it
weltentdecker-zurich;mb_12989;IDS;IDS1;5;4.01;0.34;error;parent intervention;mother takes up child and tries to calm it
weltentdecker-zurich;mb_12989;ADS;ADS1;6;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;IDS;IDS3;7;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;ADS;ADS3;8;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;IDS;IDS2;9;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;ADS;ADS2;10;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;ADS;ADS4;11;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;IDS;IDS4;12;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;ADS;ADS6;13;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;IDS;IDS6;14;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;ADS;ADS8;15;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_12989;IDS;IDS8;16;NC;NC;error;experiment ended early;NA
weltentdecker-zurich;mb_13077;training;train2;-2;17.19;15.19;noerror;NA;NA
weltentdecker-zurich;mb_13077;training;train1;-1;16.46;14.46;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS5;1;15.29;11.62;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS5;2;4.11;1.88;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS7;3;7.42;4.71;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS7;4;4.81;2.52;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS1;5;9.40;4.14;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS1;6;2.00;0.00;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS3;7;4.42;2.26;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS3;8;3.26;1.13;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS2;9;3.44;0.05;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS2;10;3.66;1.54;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS4;11;4.96;2.81;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS4;12;13.13;7.72;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS6;13;14.52;8.40;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS6;14;5.48;2.25;noerror;NA;NA
weltentdecker-zurich;mb_13077;ADS;ADS8;15;5.15;2.79;noerror;NA;NA
weltentdecker-zurich;mb_13077;IDS;IDS8;16;7.58;3.67;noerror;NA;NA
weltentdecker-zurich;mb_13087;training;train2;-2;17.33;15.33;noerror;NA;NA
weltentdecker-zurich;mb_13087;training;train1;-1;12.92;8.70;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS5;1;12.20;9.41;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS5;2;3.57;1.40;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS7;3;13.43;9.26;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS7;4;15.16;13.16;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS1;5;5.00;0.98;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS1;6;5.51;1.95;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS3;7;8.18;5.22;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS3;8;9.96;3.53;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS2;9;12.33;9.14;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS2;10;5.04;2.51;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS4;11;9.08;5.23;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS4;12;13.26;8.98;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS6;13;13.94;11.94;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS6;14;2.97;0.51;noerror;NA;NA
weltentdecker-zurich;mb_13087;ADS;ADS8;15;6.67;2.86;noerror;NA;NA
weltentdecker-zurich;mb_13087;IDS;IDS8;16;4.94;1.38;noerror;NA;NA
weltentdecker-zurich;mb_13111;training;train1;-2;18.00;16.14;noerror;NA;NA
weltentdecker-zurich;mb_13111;training;train2;-1;17.01;15.01;noerror;NA;NA
weltentdecker-zurich;mb_13111;IDS;IDS5;1;18.00;16.25;noerror;NA;NA
weltentdecker-zurich;mb_13111;ADS;ADS5;2;17.20;15.20;noerror;NA;NA
weltentdecker-zurich;mb_13111;ADS;ADS7;3;15.91;11.16;noerror;NA;NA
weltentdecker-zurich;mb_13111;IDS;IDS7;4;17.15;11.23;noerror;NA;NA
weltentdecker-zurich;mb_13111;ADS;ADS1;5;7.81;4.71;noerror;NA;NA
weltentdecker-zurich;mb_13111;IDS;IDS1;6;9.54;6.77;noerror;NA;NA
weltentdecker-zurich;mb_13111;ADS;ADS3;7;7.24;4.21;noerror;NA;NA
weltentdecker-zurich;mb_13111;IDS;IDS3;8;5.28;2.86;noerror;NA;NA
weltentdecker-zurich;mb_13111;ADS;ADS2;9;13.34;7.57;noerror;NA;NA
weltentdecker-zurich;mb_13111;IDS;IDS2;10;4.97;2.26;noerror;NA;NA
