lab;subid;trial_type;stimulus;trial_num;looking_time;total_trial_time;trial_error;trial_error_type;notes;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS6;11;1.54;8.18;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS6;12;0.93;7.40;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS7;13;0.63;4.69;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS7;14;0.21;4.36;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;ADS;ADS8;15;0.41;4.83;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_017;IDS;IDS8;16;1.17;6.18;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;training;train2;-2;10.33;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;training;train1;-1;16.43;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS1;1;6.12;13.50;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS1;2;8.77;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS2;3;3.22;10.58;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS2;4;8.20;15.49;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS3;5;13.98;18.06;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS3;6;8.66;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS4;7;1.91;6.15;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS4;8;9.92;14.79;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS5;9;9.02;13.82;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS5;10;7.08;12.54;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS6;11;7.34;12.10;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS6;12;6.80;14.10;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS7;13;11.70;16.16;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS7;14;11.69;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;IDS;IDS8;15;2.86;7.93;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_018;ADS;ADS8;16;7.85;15.92;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;training;train2;-2;5.63;18.05;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;training;train1;-1;0.78;6.31;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS5 ;1;1.62;18.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS5;2;0.00;4.73;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS7;3;0.00;4.96;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS7;4;0.00;8.28;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS1;5;0.44;6.39;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS1;6;0.22;7.10;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS3;7;0.20;4.89;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS3;8;0.00;4.13;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS2;9;1.16;18.04;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS2;10;0.00;8.29;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS4;11;0.00;4.78;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS4;12;0.26;6.52;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS6;13;0.66;8.33;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS6;14;0.00;6.92;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;ADS;ADS8;15;0.00;6.80;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_019;IDS;IDS8;16;0.00;3.50;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;training;train1;-2;6.27;12.57;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;training;train2;-1;2.53;6.63;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;IDS;IDS1;1;2.37;12.66;noerror;NA;NC;;;;;;;;;;;;;;;;
babyling-oslo;OS_022;ADS;ADS1;2;1.35;6.89;noerror;NA;NC;;;;;;;;;;;;;;;;
